,Titulo,Ingredientes,Elaboracion
11,flor de garambullo,[],": se  hierven en agua. se muele el chile y luego en aceite se pone,  ya hirviendo se le pone la flor de garambullo. "
12,torta de flor de palma,"[""caldillo de jitomate con chile    nziki ra dadm'axi kora n'i"", '  chipotle  rayado', 'cebolla sazonada   denxi nthuni', 'ajo    axi', ""jitomate   dadim'axi"", ""chiles chipotles molidos en    n'i rayado njuni kora dadim'axi"", '  el jitomate', ""sal al gusto  ra u na'a da ne""]",": se deshojan las flores se lavan bien y se cuecen. ya bien cocidas  se vuelven a lavar y se escurren y se les agrega harina, se ponen al  sarten y se van haciendo las tortitas. "
13,tortas de flor de garambullo,[],": se cortan las flores. se les da una lavadita. se le pone tantita hari- na, se forman tortitas y se frien en suficiente caldillo y se agrega al  caldillo de jitomate. se frien.  "
14,quiote de maguey guampo,[],": es uno que hay en el campo, es tiernito, parece como calabacita  blanca. se cuece en agua con sal. se frie cebolla, ajo, sal y jitomate, se juntaba todo y se sazonaba. "
15,nopales ir a burro,"[""nopales   xat'a"", 'masa   juni', 'cebolla   denxi', 'manteca   ndega', 'ajo     axi', 'sal     u']",": se pone a hervir el agua, se ponen las florecitas bien lavadas, por  cinco minutos, se escurren. aparte, guisar cebolla, chile serrano, agregar la flor sal y pi- mienta al guiso, agregar agua. hervir cinco minutos junto con ajo  y cebolla. "
16,nopales batidos,[],": se cuecen en agua los nopales junto con ajo y sal. salsa: en molcajete moler ajo, sal, chile verde o serrano, se revuelven los  nopales, cebolla, tantito cilantro, oregano y ya quedan listos. "
17,flor de sabila en taquitos ,[],: se cortan. se desgranan. se lavan. se tiene cebolla y ajo sazonados con manteca y se ponen junto  con las florecitas al vapor. se sirven en tacos y a comer. 
18,atole de masa con piloncillo,[],": se pone a hervir el piloncillo, ya que este hirviendo se agrega la  masa. listo. la melaza solida de azucar se vende en forma de cono truncado  con el nombre de piloncillo. "
19,caldo de xoconostle para la cruda,"['sal     u', 'ajo     axi', ""papita   zi r'ok'a"", 'xoconostle   ixkaha']",": xoconostle en rajitas, dos o tres, se pelan y se ponen a hervir con  chile y papitas hasta que quede bien picoso y listo, a sudar. "
20,ventureros con bistec de mole,"["" 1/2   kilogramo de bistec   made kilo ra pet'amgo"", ' 1/2   kilogramo de ventureros   made kilo ya foxajuu', "" 1/4   de chile guajillo   made kilo themhon'i"", ' 1/2   cebolla   made denxi', ""2  dientes de ajo   yoho nts'ii axi"", ""pimienta   it'inuni"", ""comino, una pizca   n'a  nset'i  it'ei"", ""sal al gusto   u na'a da ne""]",": se hierve el agua con sal y se agregan por cinco minutos los ventu- reros, se escurren, se pica el bistec en tiras y se deja freir para que  se vaya cocinando, un poco antes de que esten listos se agrega la  cebolla, el ajo para que tomen el sabor, todo esto en poca grasa, se  agregan los ventureros y el chile tambien.  para poder conseguir los ventureros que no sean de la milpa  se colocan frijoles de los mas viejos en una maceta y se dejan por  diez dias.  "
21,mole de venturero,"[""chile guajillo   thenga n'i"", ""chile poblano   n'i ndema""]",": se mezclan en el metate y se le pone sus pimientos, cominos, cla- vitos y una tortilla para que espese y se guisa. los ventureros es frijol recien nacido, se pone a hervir primero  agua, luego se agregan los frijoles, se escurren bien y se vacian al  molito.  "
22,guiso de flor de garambullo,[],": se pone a hervir el agua, se ponen las florecitas bien lavadas por  cinco minutos y se escurren. aparte guisar cebolla, chile serrano, agregar la flor, sal y pi- mienta al guiso agregar agua. hervir cinco minutos con ajo y ce- bolla. "
23,ensalada de tetillas,"[""2  kilogramos de nopales en rajitas   yoho kilo ya theka  t'ust'a"", ""1  cebolla picada en rajitas   n'a denxi theka xeni"", ""5  jitomates en rajitas sin semilla,  k'ut'a ya dadim'axi ntheki hindi"", '  solamente la pulpa   puei ya nda', 'hierbabuena   xagri', ""chile jalapeno al gusto en rajitas   k'aman'i ngu da ne""]",": se cuecen los nopales en agua con carbonato y sal. siempre el  agua debe de estar caliente para que mantengan el color. aproxi- madamente tardan 20 minutos hasta que esten tiernitos, se cuelan  y se escurren.  se sazonan con la cebolla, el chile en rajas y el jitomate, se  frie por un momento y se agrega la hierbabuena con las rajas de  jitomate y despues se presenta con rebanadas de queso fresco y  flores de jitomate.  "
24,ensalada de nopales con menta,[],": los nopalitos se hacen rajitas se corta la cebolla en rajitas, el chile serrano tambien y el jitomate. sazonar primero la cebolla y el chile con pedacitos de hierba- buena por dos minutos y se le pone el jitomate, sal y pimienta. lo sazonado se deja enfriar, se agregan los nopales, se mezclan  y listo. se le puede agregar queso fresco, si se quiere, en tiritas. "
25,cazuelita de tortilla,[],": con masa de nixtamal se hacen las tortillitas, se pone el molde y  se echa en aceite hasta que se doren.  se usan para poner guisos, salsas, etcetera. "
26,atole de maiz rojo o negro crudo,[],": se tuesta el maiz en el sol, ya bien tostado se muele en el metate,  luego el polvito, como tipo harina, se disuelve con agua y se hace  atole. azucar al gusto "
27,pulque natural,"[""3  litros de pulque fuerte   hnu t'eni ra nogi sei"", ""2  litros de aguamiel   noho t'eni untfi""]",: se deja reposar por cuatro horas para que quede campechano. 
28,pulque de fresa,"[""5  litros de pulque  kut'a  t'eni  ra  sei"", ""1  kilo de fresa; no se cuela   ra fresa; hinda pim'i"", "" 1/4   de leche (lechera)   ra m'a (lechera)""]",: se agrega todo y se deja reposar por un rato para que tome sabor y  este a su punto. 
29,pulque de guayaba,"['1  kilo de guayaba   guayaba', ""5  litros de pulque   kut'a t'eni ra sei"", "" 1/4   de leche (lechera, una lata  a m'a  (lechera)""]",": se muele la guayaba con parte del pulque, se agrega al resto del  pulque y se agrega la leche, se deja reposar por un momento y se  puede servir, la guayaba no debe de estar totalmente licuada, de  preferencia, dice juan, sin semilla. "
30,pulque de pina,"[""2  kilos de pina  (se cuelan)   yoho kilo ya ut'u'uada (da pim'i)"", ""5  litros de pulque fuerte   kut'a  t'eni  ra nogi sei"", "" 1/4   de leche (lechera)   a m'a (lechera)""]",": se muele la pina, se cuela, se agrega al pulque fuerte y se deja  reposar junto con la leche por un tiempo para que este a su punto. "
31,pollocoa,"[""2  pollos enteros pelados   yoho ya m'uka oni xoge""]",":  se asan las pencas de maguey antes de poderlas usar para el pollo,  se asan a la lena y con piedras para que tome mas calor, en cuanto  esten listas las brasas se coloca el pollo en el centro de las pencas   con dos kilos de nopales picados en cubitos,  1/4  de chile jalapeno,   1/2  kilo de cebolla de rabo, para el mole se ponen  1/2  kilo  de chile  bandeno, un diente de ajo, una cebolla, se licuan  con una pizca  de comino, se junta todo y con el pollo, en piezas, se tapa con las  pencas y tambien con tierra.  en el hoyo, donde se encontraban las pencas, se coloca  el pollo  cubierto con mas pencas y al final se tapa con tierra, se deja coci- nar por cuatro horas y se retira la tierra y las pencas y queda listo.  a la salsa se le llama mole rojo. "
32,mole de quiote,[],": se corta la flor del quiote, se saca el corazon y se hierve la flor con  una pizca de sal y agua. se cuela la flor y se reserva. se pueden  hacer dos tipos de moles con ello: verde, con chile verde y tomate  y rojo, con chile bandeno y pasilla. se asan los chiles y se muelen  con dos dientes de ajo, una pizca de comino y dos cucharadas de  ajonjoli, se guisa el mole y se agrega la flor. el ajonjoli debe ser  dorado "
33,hongos de maguey,[],": estos se dan debajo de la raiz del maguey. se cortan y se lavan. se muelen en el metate, su forma es como de hojas, y se queda  como masita medio amortajada, aguadita, no mucho, parecida al  mole. se guisa en el sarten con aceite. por otro lado se hace el chile bandeno o guajillo, se muele en  el metate, se asan y despues en agua caliente se muelen. se le  puede poner dos chiles negros con todo y semillas. se guisa aparte  el chile. cuando empieza hervir el hongo se le echa el chile ya guisado.  y listo. "
34,frijoles maduros,[],": son los frijoles que en su vaina estan mas duritos; se cortan y se  deshojan y se saca el granito y se pone a cocer en olla con agua,  ajo, sal y cebolla por media hora en el fogon. "
35,nopales capeados ,[],": se cortan los nopales en tiras. se hace caldillo de jitomate con  ajo, cebolla y cominito, una pizca, para el sabor. se pasa la tira de  nopal en harina, se revuelve con huevo revuelto y se pone a dorar  en el sarten, encima su caldillo,y listo. "
36,chiles rellenos con nopales,"[""chile poblano   n'i ndema"", ""nopales   xat'a "", 'ajo     axi', 'sal     u']",": asar los chilesquitandoles la cascarita y se rellenan con los no- pales, primero se mete el queso. capeados con turron. se pone a  punto de turron la clara de huevo, estando asi se ponen las yemas. luego se enharinan los chiles y se ponen en el turron. caldillo: jitomate, cebolla, ajo y una pizca de comino para dar- le sabor, todo molido en molcajete. "
37,nopales en mole verde,[],": se corta el nopal, se limpia y se cuece en agua con sal y carbonato,  el agua ya debe de estar caliente a la hora de agregar los nopales  por unos minutos.por otro lado se hierven los chiles serranos o  gordos (cuaresmenos), se muelen con cebolla, ajo, se guisa con la  grasa y se agregan a los nopales. "
38,flor de palma,"[""100 gramos de chile bandeno asado   na nthebe gramosra homn'i  nthaxi"", ""2  dientes de ajo   yoho nts'ii  ra axi"", ""3  dedos de comino  hnu xa ya it'ei"", ' 1/4   de cebolla   dee made ra denxi']",": se limpia el corazon de las flores, se deja hervir en agua con sal  y se le da tres lavadas para que se le quite lo amargo. se bate con  huevo y se sirve con salsa. todo molido; y se agrega como salsa a los huevos con flor de  palma. "
39,torta de cilantro,"[' 1/4   de queso fresco   gexo jaxa thoki', ' 1/4   de cebolla   denxi', "" 1/2   manojo de cilantro   mit'i landro"", '1  kilogramode huevo   kilogramoya mado', ""sal al gusto   u na'a da ne""]",": se pica finamente el cilantro con todo y rama, se pica de igual ma- nera la cebolla. se espolvorea el queso sobre la mezcla y se bate el  huevo. se forma una masa con todos los ingredientes y se frie en  aceite normal.  se puede agregar la salsa de tomate (tomatillo), la cual consta  de tomate, cebolla y ajito. el aceite debe de estar bien caliente. "
40,agua de nopal,"[""1  kilo de nopales    kilo ya t'uzt'a"", '4  piezas de guayaba   xeni guayaba', ' 1/4   de azucar   ra dotfi']",": se muele el nopal y se cuela, dejando pasar la pulpa, se sirve con  mucho hielo. "
41,barbacoa al hoyo,[],": se mata el borrego y se pone la carne del borrego entero en el hoyo  con lena de mezquite, sal, bastante, durante seis a siete horas,  ademas se pone la ollita junto con el menudo. "
42,nopales en penca de arriero,"[""1  1/2  de nopales fresquitos   na made ya zi xat'a  nk'ami"", 'cebolla   denxi', 'ajo     axi', ""chile serrano   k'aman'i"", 'oregano   oregno', ""sal al gusto   u na'a da ne""]",": se corta el nopal, luego se pica lo mejor que se pueda, en cuadritos. se tiene una penca madre, se abre para meterle los nopalitos,  se cierra a manera que no se salgan de la penca los nopalitos y se  pasa a fuego lento a la lena. hay que hacerle perforaciones para que se salga el vapor y la  babita del nopal, entre 35 y 45 minutos cuidando que la lena se  mantenga y ya estan listos  para comerse en taco o en su plato. "
43,salsa de jitomate en crudo,"[""1/4  de kilogramo de jitomate   1/4  dadim'axi"", ""4  chiles jalapenos rojos   goho n'i  k'aman'i daa"", '3  ajos   hnu axi', '1/2  cebolla   made denxi ']",: se licua todo. agregar agua si esta muy espesa 
44,salsa negra para barbacoa ,"[""50  chiles pasilla tostado   madenthebe  yom'i  daa "", ""25  chiles cascabel tostado  n'ate  ma  k'ut'a"", ""4  dientes de ajo   goho  ts'i  ya axi"", '1/2  cebolla   made denxi', '300 gramos de tomate cocido   hnu nthebe ogudemxi xa da', 'cilantro y cebolla poco picados   landro ntheki nera denxi']",: se muelen los ajos primero agregandoles los chiles y tomates. sal al gusto      despues se le pone cebolla y cilantro picados. agregar agua si esta muy espesa. 
45,salsa de morita,"[""1/4  de kilogramo de jitomate  dadim'axi"", '1/4  de kilogramo de tomate  ogudemxi', ""2  dientes de ajo   yoho ts'i  ra axi"", '1/4  cebolla   denxi', ""8  chiles moritas   hnato pet'an'i""]",": jitomate cocido, chile morita frito y hervido, jitomate y tomate asa- dos, sal al gusto, poca agua. "
46,salsa para carnitas,[],": medio kilogramo de carne de costillita  se pone medio kilo de faldita en trozo pequeno, en poquita  agua con sal de grano a cocerse, que no se vaya a desbaratar la  carne, se dora en manteca, que quede en trozo chiquito. dos dientes de ajo y un pedazo de cebolla, al cocer se saca el  ajito y se escurre, una vez cocida para freirse en  manteca a que  quede bien doradita, haciendo la salsa con jitomate cocido, con 10  chiles serranos y un cuarto de jitomate al gusto, segun se quiera  de picosa. dos dientes de ajo grandes asados en comal se licuan con el  jitomate cocido, y sal al gusto.  "
47,tortillas de nopal,"[""1 1/2 kilogramos de maiz   n'a made kilo ra detha"", ""1  kilogramo de nopal  na kilo m'uka  xat'a gohmi"", '  pelado y en cuadritos', ""3  cucharadas soperas de cal   hnu nt'antsi  ra nani"", '2 1/2 litros de agua   yoho litro made ra dehe']",": en un recipiente se pone el agua a fuego alto, se agregan el maiz  y la cal. se deja hervir durante 15 minutos, cuando el maiz ya se  puede pelar es que ya esta. listo el nixtamal se retira del fuego y se deja una noche para  que se enfrie; lavar perfectamente para que no queden residuos de  cal y se pone a escurrir. despues, al nixtamal se le agregan los cuadritos pequenos de  nopal y juntos se muelen en el molino. para que tomen color de nopal verde, se le puede agregar polvo  color verde si se quiere. finalmente, en un comal de barro banado de cal se pone a fue- go alto, cuando este completamente caliente, se hacen las tortillas  y se ponen al comal hasta que se inflen y hecho lo anterior pode- mos degustar perfectamente nuestras tortillas. "
48,dulce de huamiche,"[""1 1/2 kilogramos de huamiche   n'a  made kilo ya uamixi"", ""1  litro de agua   n'a  litro ra dehe"", ""1/2  kilogramos de piloncillo   made kilo ra t'afi chankaka"", '3  barritas de canela   hnu zi uza']",": en un recipiente con agua se ponen a hervir los huamiches. cuando suelten el primer hervor se retiran del fuego y se escurren. nuevamente se ponen al fuego con agua y cuando empiezan a  hervir se le incorpora el piloncillo al gusto y canela. finalmente se deja hervir 30 minutos. listo, se sirve frio o caliente. "
49,agua de pitahaya,"['8  pitahayas   hnato ya pitahaya', ""1  litro de agua   n'a t'eni  ra dehe"", 'azucar  dothfi']",": se pelan las pitahayas, se muelen y se le agregan al agua, se en- dulza al gusto. "
50,pulque curado de tuna,"[""2  litros de pulque en su punto   yoho xanont'eni ra kuhi sei"", ""10  kilogramos de tuna roja   r'et'a kilo ra thenga kaha""]", nt'othe kaha dona esmeralda ortiz cervantes na esme ortiz cervante ingredientes:   mpeui: 2  litros de pulque en su punto   yoho xanont'eni ra kuhi sei 10  kilogramos de tuna roja   r'et'a kilo ra thenga kaha 
51,pollo annie,"[""2  piezas de jitomate   yoho ya dadi'maxi"", ""3  piezas de chile guajillo   hnu ya theyho'ni"", ""1  pieza de chile muiala   'na ra 'mo'mi"", ""2  dientes de ajo   yoho nts'ii  ra axi"", '3  piezas de xoconostle   hnu ya ixkaha', ""100 gramos de papa de cambray   100 gramo hoga  r'ok'a"", ""2  pimientas negras   yoho yungantsant'i  mboi"", ""sal al gusto   ra u  n'aa da ne"", ""1  hoja de aguacate   'na ra xi ra ts'ani"", '1/2  pechuga de pollo   made ra tina ra oni']",": se frie la pechuga y se tira la grasa, despues se le agregan dos cu- charadas de aceite vegetal, a continuacion se cuecen los jitomates. despues se pondran los chiles a hervir, ya que esten cocidos  se desvenan, despues se ponen a hervir los ingredientes con las  especias y se frien, despues se le agrega la pechuga. "
52,dulce de xoconostle ,"[""1 kilogramo de xoconostle   n'a kilo ixkaha"", '2 rajas de canela   yoho xeni ra uza', 'almendras   nda mendras', ""pasas   'yot'i"", 'azucar al gusto   dotfi naa da ne', 'nuez   demza']",": se pela el xoconostle y se parte, se retira la tuna del centro, des- pues se lava y se pone a cocer por diez minutos, luego se retira del  fuego y se vuelve a lavar; ya que esta lavado se le pone mas agua  y se pone otra vez al fuego hasta que este suave; se le agrega la  canela, azucar, almendras, pasas y nuez se pone a enfriar y listo. "
53,chabelitos molcajeteados,"[""chabelitos de sabila   chabeito dega ju'ta"", ""4  jitomates   goho ya dadim'axi"", ""1  diente de ajo   n'a nts'ii ra axi"", '1/4  de cebolla    de made ra denxi', ""5  chiles de arbol   kut'a ya ts'umni"", ""sal al gusto    u na'a da ne""]",": se asan los chabelitos en el comal junto con los jitomates, se tues- tan los chiles a fuego lento cuidando que no se quemen. se muelen  el ajo, la cebolla y los chiles en el molcajete, se le agregan los  jitomates asados y se molcajetea hasta que queden molidos, se le  agregan los chabelitos asados y se baten hasta que se integren los  demas ingredientes, se le agrega sal al gusto y ya esta listo para  servirse. chabelitos son los botones o flores de sabila. "
54,chabelitos a la mexicana,"[""flores y botones de flor de sabila al gusto  doni, fosdoni  ju'ta ngu da ne"", ""2  jitomates   yoho ya dadim'axi"", ""1  cebolla mediana   n'a ra denxi"", ""1  chile jalapeno   n'a ra k'aman'i"", ""1  manojito de cilantro   n'a mit'i ra landro  "", ""sal al gusto  u na'a da ne""]",": las flores y botones se lavan perfectamente y se ponen a cocer  con un poco de sal, las verduras, ya limpias, se pican en partes  pequenas al igual que el cilantro, se integran todas y cuando ya los  chabelitos esten cocidos se escurren y se enjuagan con agua  y se  revuelven con los demas ingredientes, se les agrega sal al gusto y  con menos de $ 7.00 tenemos una rica y nutritiva ensalada 100%  natural y 0% grasas. "
55,atole de maiz crudo,"['1/4  de maiz crudo   na 1/4 ra naditha', '1  litro de agua   1 litro ra dehe', ""1  pizca de carbonato   n'a nset'i ra themboho""]",": se pone a remojar el maiz un dia antes, despues  se muele en el  metate, ya cuando esta la masa se le agrega el agua y se deshace,  luego se cuela y se pone a fuego lento por 20 minutos, se mueve  para que no se pegue, despues se retira del fuego y se endulza al  gusto. "
56,verdolagas,"[""2  manojos de verdolagas   yo tut'i  ts'otkani"", '1/2  kilogramo de carne en trozos   made kilo ra ngo ntheki xeni', ""1/2  kilogramo de jitomate   made kilo ra dadim'axi"", ""4  chiles jalapenos  goho n'i k'aman'i"", 'cebolla   denxi', 'ajos    axi - axo - axoxi']",": se pican en trozos las verdolagas. se ponen a cocer con ajo, cebo- lla y un poco de agua. por separado se cuece la carne con chiles  y jitomates.  se frie la salsa con un poco de aceite. se agregan las verdolagas y la carne con sal al gusto. se dejan a fuego lento cinco minutos. "
57,quelites al mojo de ajo,"[""2  manojos de de quelites frescos   yoho tu'ti yak'ani  nk'ami"", ""3  dientes de ajo   hnu nts'i  ya axi"", 'cebolla picada   denxi  xa  ntheki', ""3  chiles verdes   hnu ya k'aman'i""]",": se pone a hervir, en un recipiente, agua. se agregan los quelites en el recipiente. se agrega sal al gusto y una pizca de bicarbonato. en el molcajete se ponen a escurrir los quelites ya con los chi- les y ajos molidos y con cebolla picada. "
58,nopalitos en torta de camaron,"[""1  kilogramo de nopalitos   1 kilo nu yazi xat'a"", ""1/2  kilogramo de chile bandeno   1/2 de hom'i"", '1/4  de camaron molido   1/4 de mai njuni', '3  huevos   hnu ya mado', 'cebolla   denxi', 'ajo     axi', 'cilantro   landro']",: los nopalitos se cuecen con ajo y cebolla. el chile asado se muele con una pizca de comino. se sazona el chile y se le agregan los nopalitos con mucho ci- lantro y las tortas de camaron. preparacion de las tortas: se bate el huevo con el camaron hasta que forme espesura. en un sarten ancho con aceite bien caliente se agrega lo de una  cuchara sopera hasta que tenga un cocido perfecto.  
59,nopal en penca,"[""2  kilogramos de nopales   ya xat'a  xa  nthekxeni"", '  bien picados', 'cebolla   denxi', 'ajo     axi', 'cilantro   landro', ""chile bandeno picado   n'i"", ""jitomate picado   hom'ni"", ""una penca grande de nopal   nara data xu'ta  koya xat'a""]",: se revuelven los nopalitos con lo demas.  se rellena la penca con  la ensalada. se le agrega sal al gusto. se cuece a fuego lento. 
60,flor de sabila al vapo,"[""1  kilogramo de flor de sabila   doni ju'ta"", 'cebolla   denxi', 'ajo     axi - axo - axoxi', ""chile bandeno picado   hom'ni  ntheki""]",": se revuelve la flor con los demas ingredientes y sal al gusto, un  poco de aceite,se sazonan a fuego lento.  "
61,atole a la capilla,"['1/4  de masa de maiz   1/4 juni dega detha', ""2  litros de agua   yo t'eni ra dehe"", '2  trozos de canela   yo xeni ra uza', ""la mitad de un piloncillo   made njuni ra t'afi chankaka"", 'anis    yungaani']",": se disuelve la masa en el agua y se pone a cocer a fuego lento,  hasta que espese. por separado se cuece a fuego lento, hasta que se disuelva el  piloncillo con anis y canela. se hace la mezcla de los dos ingredientes. se pone a hervir 1diez minutos. se agrega azucar al gusto y listo. "
62,pipitorias,"[""piloncillo   t'afi chankaka"", 'semilla de calabaza   ndamu', 'agua   dehe']",": se ponen a hervir las semillas en agua, despues se cuecen y se  pelan.  en una olla se pone a hervir un poco de agua con piloncillo, ya  que hace hebra se le pone la semilla pelada. "
63,mole de flor de palma,"[""flor de palma   doni 'mahi"", ""100 gramos de chile bandeno  gramos hom'ni"", ""2  chiles anchos  ya xik'ni"", '1  ajo   axi', '1/2  cebolla   denxi', ""1  pizca de cominos aceite y   nset'i  ya hokt'ukt'ei, nziki, na tuki"", 'sal al gusto    ra u.']",": se deshoja  la flor, petalo por petalo, se pone a hervir en agua.  en una cazuela se frien los demas ingredientes ya molidos y por  ultimo se incorporan los petalos, ya hirviendo, y se deja sazonar.  "
64,tortillas de maiz negro,"[""maiz negro   'motha"", 'agua   dehe', 'cal     nani']",": se pone a hervir el maiz con un poco de cal, ya que esta cocido se  lava y despues se muele en el metate, por ultimo se ponen a cocer  en un comal de barro. "
65,torrejas,"['bolillo   bilothuhme', 'huevo   mado', ""piloncillo   t'afi  chankaka "", 'canela   uza', 'aceite   nzik']",": se corta el bolillo en pedazos, se bate el huevo a punto de nieve,  despues se unta el bolillo en el huevo y se frien en aceite en un  recipiente. se pone a hervir el piloncillo con el agua y canela. "
66,salsa de xoconostle,"['xoconostle   ixkaha', ""chile bandeno   k'aman'i"", 'ajo     axi', 'agua   dehe', 'sal     u']",": se ponen a asar los xoconostles y los chiles, se muelen en el mol- cajete con un ajo y sal al gusto y se le echa tantita agua. "
67,atole de aguamiel,"[""1  litro de aguamiel   n'a t'eni t'afi'uada"", '250 gramos de masa de maiz   yonthebe grs. juni nthebe detha', ""1  taza de agua para disolver   n'a xano ra dehe pada mobo ra juni"", '  la masa']",": se pone a hervir el agua, ya que esta hervida se le agrega la masa  para disolverse, se cuela, ya que esta disuelta se pone a hervir  nuevamente con el aguamiel, ya que empieza a hervir le baja el  fuego espera cinco minutos y listo para servirse. "
68,atole de masa,"[""1  cuartillo de masa de maiz 100%   n'a huada ra detha njuni"", ""1  mancuerna de piloncillo   n'a njuni ra t'afi chankaka"", 'anis    ani', ""6  litros de agua   r'ato t'eni ra dehe""]",": se pone el agua a hervir, ya que esta hervida se disuelve la masa en  el agua, se cuela y se pone nuevamente a hervir, se le va agregando  poco a poco la miel de piloncillo para endulzar al gusto sin dejar  de moverse, se recomienda, preferentemente, utilizar cuchara de  madera, se deja hervir por tres minutos y listo. para preparar la miel se pone a hervir el piloncillo en dos tazas  de agua, el piloncillo debe ir en trocitos, ya que este deshecho el  piloncillo, se le agrega el anis y se deja hervir por dos minutos, la  miel debe quedar muy espesa. "
69,tostadas de nata (receta para las mujeres que acaban de ,['masa de nixtamal   juni dega suni'], panuya m'ehna jaxa  huegi) dona guadalupe uribe hernandez na lupe uribe hernande ingredientes:   mpeui: masa de nixtamal   juni dega suni 
